Bag Number,Surface,Fold,Time (Bag),Mu Value,Inconsistency,Raw If Applicable,Previously Recorded Mu,Previoulsy Recorded Time,Mu Difference,Timestamp Difference,,,,,,,,,,,,,,
Bag 14,Tile,3,1770761147,0.6695189558,,,0.6695189557,1770761147,0.000,0.136,,,,,,,,,,,,,,
,Cardboard,.,1770761153,0.8664588519,,,0.8664588519,1770761153,0.000,0.163,,,,,,,,,,,,,,
,Acrylic,.,1770761158,1.037855973,,,1.037855973,1770761158,0.000,0.182,,,,,,,,,,,,,,
Bag 15,Tile,5,1770761173,0.7058638883,,,0.70586388,1770761173,0.000,0.025,,,,,,,,,,,,,,
,Cardboard,.,1770761180,1.04363914,,,1.04363914,1770761180,0.000,0.000,,,,,,,,,,,,,,
,Acrylic,.,1770761183,0.7070192763,,,0.7070192763,1770761183,0.000,0.020,,,,,,,,,,,,,,
Bag 16,Tile,2,1770761212,0.6993529493,,,0.6993529493,1770761212,0.000,0.000,,,,,,,,,,,,,,
,Cardboard,.,1770761220,0.8183505199,,,0.8183505199,1770761220,0.000,0.000,,,,,,,,,,,,,,
,Acrylic,.,1770761222,0.7157412862,,,0.7157412862,1770761222,0.000,0.020,,,,,,,,,,,,,,
2 Surface Bags,,.,,,,,,,,,,,,,,,,,,,,,,
Bag1,Tile,4,1756824533,0.7631135756,,,0.7631135756,,0.000,,,,,,,,,,,,,,,
,Cardboard,.,1756824537,0.7938452464,,,0.7938452464,,0.000,,,,,,,,,,,,,,,
Bag2,Tile,5,1756824593,0.7634124267,,,0.7634124267,,0.000,,,,,,,,,,,,,,,
,Cardboard,.,1756824597,0.8280248969,,,0.8280248969,,0.000,,,,,,,,,,,,,,,
Bag3,Tile,3,1756824916,0.8149010226,extra 2,1756824921        0.4068440896,0.8149010226,,0.000,,,,,,,,,,,,,,,
,Cardboard,.,1756824919,1.1734409,,1756824923        0.7145389017,1.1734409,,0.000,,,,,,,,,,,,,,,
Bag4,Tile,4,1756825110,0.7402349295,,,0.7402349295,,0.000,,,,,,,,,,,,,,,
,Cardboard,.,1756825113,1.227157265,,,1.227157265,,0.000,,,,,,,,,,,,,,,
Bag5,Tile,1,1756825178,0.7606694346,,,0.7606694346,,0.000,,,,,,,,,,,,,,,
,Cardboard,.,1756825182,1.094875197,,,1.094875197,,0.000,,,,,,,,,,,,,,,
Bag6,Tile,2,1756825212,0.62830973,extra 1,,0.62830973,,0.000,,,,,,,,,,,,,,,
